;start_date;end_date;counts;keywords;date
155;2022-05-30 09:00:00+00:00;2022-05-30 10:00:00+00:00;203;electric cars;2022-05-30
156;2022-05-30 10:00:00+00:00;2022-05-30 11:00:00+00:00;232;electric cars;2022-05-30
157;2022-05-30 11:00:00+00:00;2022-05-30 12:00:00+00:00;187;electric cars;2022-05-30
158;2022-05-30 12:00:00+00:00;2022-05-30 13:00:00+00:00;241;electric cars;2022-05-30
159;2022-05-30 13:00:00+00:00;2022-05-30 14:00:00+00:00;309;electric cars;2022-05-30
160;2022-05-30 14:00:00+00:00;2022-05-30 15:00:00+00:00;248;electric cars;2022-05-30
161;2022-05-30 15:00:00+00:00;2022-05-30 16:00:00+00:00;260;electric cars;2022-05-30
162;2022-05-30 16:00:00+00:00;2022-05-30 17:00:00+00:00;303;electric cars;2022-05-30
163;2022-05-30 17:00:00+00:00;2022-05-30 18:00:00+00:00;276;electric cars;2022-05-30
164;2022-05-30 18:00:00+00:00;2022-05-30 19:00:00+00:00;189;electric cars;2022-05-30
165;2022-05-30 19:00:00+00:00;2022-05-30 20:00:00+00:00;190;electric cars;2022-05-30
166;2022-05-30 20:00:00+00:00;2022-05-30 21:00:00+00:00;195;electric cars;2022-05-30
167;2022-05-30 21:00:00+00:00;2022-05-30 22:00:00+00:00;159;electric cars;2022-05-30
168;2022-05-30 22:00:00+00:00;2022-05-30 22:55:43+00:00;141;electric cars;2022-05-30
169;2022-05-23 22:55:43+00:00;2022-05-23 23:00:00+00:00;27;renewable energy;2022-05-23
170;2022-05-23 23:00:00+00:00;2022-05-24 00:00:00+00:00;372;renewable energy;2022-05-23
171;2022-05-24 00:00:00+00:00;2022-05-24 01:00:00+00:00;371;renewable energy;2022-05-24
172;2022-05-24 01:00:00+00:00;2022-05-24 02:00:00+00:00;283;renewable energy;2022-05-24
173;2022-05-24 02:00:00+00:00;2022-05-24 03:00:00+00:00;303;renewable energy;2022-05-24
174;2022-05-24 03:00:00+00:00;2022-05-24 04:00:00+00:00;290;renewable energy;2022-05-24
175;2022-05-24 04:00:00+00:00;2022-05-24 05:00:00+00:00;325;renewable energy;2022-05-24
176;2022-05-24 05:00:00+00:00;2022-05-24 06:00:00+00:00;365;renewable energy;2022-05-24
177;2022-05-24 06:00:00+00:00;2022-05-24 07:00:00+00:00;416;renewable energy;2022-05-24
178;2022-05-24 07:00:00+00:00;2022-05-24 08:00:00+00:00;534;renewable energy;2022-05-24
179;2022-05-24 08:00:00+00:00;2022-05-24 09:00:00+00:00;603;renewable energy;2022-05-24
180;2022-05-24 09:00:00+00:00;2022-05-24 10:00:00+00:00;533;renewable energy;2022-05-24
181;2022-05-24 10:00:00+00:00;2022-05-24 11:00:00+00:00;596;renewable energy;2022-05-24
182;2022-05-24 11:00:00+00:00;2022-05-24 12:00:00+00:00;902;renewable energy;2022-05-24
183;2022-05-24 12:00:00+00:00;2022-05-24 13:00:00+00:00;940;renewable energy;2022-05-24
184;2022-05-24 13:00:00+00:00;2022-05-24 14:00:00+00:00;665;renewable energy;2022-05-24
185;2022-05-24 14:00:00+00:00;2022-05-24 15:00:00+00:00;951;renewable energy;2022-05-24
186;2022-05-24 15:00:00+00:00;2022-05-24 16:00:00+00:00;1071;renewable energy;2022-05-24
